id,area,creationYear,lastRenovationYear,buildingType,isFurnished,roomsCount
1,63,1995,2004,Visionary,true,1
2,20,2010,2012,Operative,true,2
3,4,1998,1976,context-sensitive,true,3
4,13,1998,2003,protocol,false,4
5,76,2002,2008,impactful,true,5
6,60,1986,2008,standardization,false,6
7,80,1993,2002,human-resource,false,7
8,64,2011,2004,Reverse-engineered,true,8
9,71,1987,2001,client-server,false,9
10,3,2004,1953,uniform,true,10
11,89,1994,1996,Future-proofed,true,11
12,90,2012,1969,Versatile,false,12
13,10,1997,2007,client-driven,true,13
14,59,2009,1999,Automated,true,14
15,18,2007,2006,Quality-focused,false,15
16,8,2004,1993,forecast,true,16
17,69,1996,2004,cohesive,true,17
18,84,1992,2000,synergy,true,18
19,1,2008,1990,architecture,false,19
20,24,1967,1971,client-driven,false,20
21,17,1988,1996,orchestration,true,21
22,66,2007,1986,matrix,true,22
23,69,2006,2010,upward-trending,true,23
24,77,2009,2001,multimedia,true,24
25,20,1993,2010,Exclusive,true,25
26,84,2008,2012,Horizontal,true,26
27,59,2009,1999,demand-driven,false,27
28,76,1999,2012,open system,false,28
29,67,2011,1998,infrastructure,false,29
30,67,2009,1986,open architecture,true,30
31,15,2012,1993,Up-sized,true,31
32,86,2006,1998,local area network,false,32
33,69,2009,2002,product,false,33
34,49,2004,2005,motivating,true,34
35,9,2008,2003,Ameliorated,false,35
36,49,2011,2012,projection,false,36
37,50,2012,1991,motivating,false,37
38,87,2009,1992,customer loyalty,true,38
39,48,2003,1996,challenge,false,39
40,14,1984,2000,open architecture,true,40
41,22,1982,2007,Vision-oriented,false,41
42,85,2003,1996,standardization,true,42
43,11,2005,2009,full-range,false,43
44,52,2004,2004,Monitored,true,44
45,19,1995,1989,zero administration,false,45
46,8,2006,2001,Integrated,true,46
47,25,1967,1998,benchmark,false,47
48,78,2009,2007,bottom-line,true,48
49,89,1999,1996,Reverse-engineered,false,49
50,85,1990,1998,Monitored,false,50
51,84,1992,1991,local area network,true,51
