id,creationDate,negotiable,description,agencyFee,title
1,17/02/2023,false,artificial intelligence,40,Pre-emptive
2,06/04/2022,false,Cross-platform,82,migration
3,08/09/2022,true,archive,16,function
4,22/07/2022,false,Right-sized,79,utilisation
5,04/10/2022,true,Assimilated,53,3rd generation
6,28/11/2022,true,success,43,client-server
7,24/11/2022,true,impactful,54,analyzer
8,16/03/2022,true,focus group,24,Object-based
9,21/07/2022,false,moderator,12,archive
10,26/08/2022,true,functionalities,69,Streamlined
11,16/04/2022,false,Visionary,54,initiative
12,05/05/2022,false,Ameliorated,71,Realigned
13,23/01/2023,false,leading edge,21,multimedia
14,14/01/2023,true,matrix,59,Programmable
15,02/05/2022,true,Polarised,75,Intuitive
16,11/09/2022,false,implementation,75,leading edge
17,15/12/2022,true,Synergized,7,regional
18,15/03/2022,false,artificial intelligence,97,holistic
19,13/01/2023,true,non-volatile,26,model
20,18/08/2022,false,knowledge user,35,info-mediaries
21,23/07/2022,true,global,40,system engine
22,17/12/2022,true,Grass-roots,66,Mandatory
23,03/04/2022,false,Synchronised,58,Customizable
24,24/06/2022,true,logistical,22,static
25,13/09/2022,false,Open-source,38,utilisation
26,19/11/2022,false,initiative,8,Realigned
27,26/03/2022,false,Triple-buffered,39,data-warehouse
28,11/05/2022,true,dynamic,30,model
29,10/01/2023,true,Devolved,65,6th generation
30,03/05/2022,true,application,50,intermediate
31,03/01/2023,true,web-enabled,20,Fundamental
32,27/12/2022,true,Optional,64,Graphical User Interface
33,05/03/2022,true,installation,82,installation
34,19/05/2022,true,firmware,51,Pre-emptive
35,23/10/2022,true,De-engineered,64,Self-enabling
36,07/01/2023,true,matrices,69,Down-sized
37,25/12/2022,false,Multi-lateral,24,grid-enabled
38,19/12/2022,false,upward-trending,25,hybrid
39,20/12/2022,false,Visionary,11,Object-based
40,02/11/2022,false,methodical,7,fault-tolerant
41,30/01/2023,false,Open-source,87,radical
42,09/08/2022,false,Multi-lateral,63,matrix
43,04/04/2022,false,Reactive,16,application
44,22/04/2022,true,Inverse,63,local
45,21/01/2023,false,Future-proofed,75,discrete
46,02/02/2023,true,Organized,23,Right-sized
47,06/02/2023,true,Expanded,61,knowledge base
48,18/07/2022,false,process improvement,13,contextually-based
49,18/05/2022,true,Universal,65,Reverse-engineered
50,03/12/2022,false,local area network,80,modular
51,14/06/2022,false,Down-sized,22,Organized
52,14/04/2022,false,Visionary,82,Centralized
53,15/05/2022,false,clear-thinking,85,task-force
54,28/09/2022,true,Cross-group,39,homogeneous
55,21/04/2022,false,alliance,72,Balanced
56,10/04/2022,true,solution,58,Extended
57,21/08/2022,false,homogeneous,20,full-range
58,20/05/2022,true,incremental,99,Reduced
59,14/05/2022,false,hub,42,User-friendly
60,09/02/2023,false,national,44,Networked
61,24/06/2022,true,national,56,Virtual
62,17/05/2022,true,incremental,54,human-resource
63,26/04/2022,true,Enterprise-wide,47,Open-architected
64,02/06/2022,false,Front-line,34,Profit-focused
65,08/04/2022,false,protocol,15,didactic
66,03/01/2023,false,contextually-based,41,foreground
67,22/10/2022,false,scalable,14,migration
68,08/09/2022,false,mission-critical,78,multi-tasking
69,06/07/2022,true,scalable,38,Balanced
