id,area,creationYear,lastRenovationYear,buildingType,isFurnished,roomsCount
1,8,2000,2009,modular,true,1
2,81,2002,1995,Multi-lateral,true,2
3,9,2007,1975,Phased,false,3
4,51,2011,1996,Programmable,true,4
5,61,1993,2007,Enhanced,false,5
6,13,2003,1989,actuating,true,6
7,20,2007,1995,Upgradable,false,7
8,14,2001,1994,model,true,8
9,7,1992,2006,moderator,true,9
10,8,2010,1997,eco-centric,true,10
11,45,2007,2010,Public-key,true,11
12,84,1993,2007,framework,false,12
13,94,2008,2008,discrete,false,13
14,37,1992,2010,User-centric,true,14
15,84,2009,1988,conglomeration,true,15
16,10,1994,2009,logistical,false,16
17,65,2011,1995,Object-based,false,17
18,57,1994,2011,Stand-alone,true,18
19,63,2009,2009,zero tolerance,false,19
20,83,2013,2010,intermediate,true,20
21,94,2000,1971,Synergized,false,21
22,5,2012,1995,Re-engineered,true,22
23,65,1970,1989,Persevering,false,23
24,30,1990,2006,Diverse,false,24
25,76,2004,2003,encompassing,true,25
26,57,1993,2005,Future-proofed,true,26
27,92,1991,2002,client-driven,false,27
28,3,2007,2004,core,true,28
29,16,1989,1994,productivity,true,29
30,20,2006,1985,Configurable,false,30
31,13,2000,2004,Digitized,false,31
32,41,2007,2005,Reactive,true,32
33,32,1992,2000,Extended,true,33
34,18,2007,2007,Programmable,false,34
35,73,2007,2012,help-desk,false,35
36,1,1997,1995,Switchable,true,36
37,73,1987,1985,Business-focused,false,37
38,36,1994,2004,database,true,38
39,16,1994,2001,circuit,false,39
40,16,1992,1990,Upgradable,false,40
41,59,1994,2003,empowering,true,41
42,80,1996,1998,transitional,true,42
43,6,1992,2005,bottom-line,true,43
44,11,1994,1998,responsive,false,44
45,47,2001,2006,Organized,false,45
46,44,2007,1992,leading edge,false,46
47,57,2000,2006,info-mediaries,true,47
48,24,2007,2010,bandwidth-monitored,false,48
49,10,1987,2001,asymmetric,false,49
50,49,2005,1996,Re-contextualized,true,50
51,53,2002,1991,model,true,51
52,18,2000,2010,dedicated,true,52
53,7,1993,2009,Quality-focused,true,53
54,15,1993,2006,frame,true,54
55,55,1995,1992,Enterprise-wide,false,55
56,51,2011,2011,background,false,56
57,79,1997,2009,project,false,57
58,28,2003,2011,multi-tasking,true,58
59,45,2008,1996,definition,false,59
60,81,2000,1998,Future-proofed,true,60
61,30,1984,2002,global,false,61
62,76,1998,1975,moderator,false,62
63,88,2004,2008,Progressive,false,63
64,96,2011,2013,Compatible,true,64
65,9,1983,2005,dynamic,true,65
66,23,2001,1996,Visionary,true,66
67,5,2008,2000,hierarchy,false,67
68,17,2001,2000,multimedia,false,68
69,89,1992,1987,Assimilated,true,69
70,19,2008,2005,reciprocal,true,70
71,6,1989,2003,paradigm,false,71
72,64,2001,1996,productivity,true,72
73,80,1991,1998,Devolved,true,73
74,46,1999,2008,hierarchy,false,74
75,92,2006,2012,benchmark,false,75
76,89,1990,1997,web-enabled,true,76
77,100,1998,1990,full-range,false,77
78,74,2005,2004,Integrated,true,78
79,79,2005,1997,firmware,false,79
80,40,1999,2010,Up-sized,true,80
81,78,1991,1996,Open-source,false,81
82,50,2012,2012,system engine,true,82
83,37,2001,1991,policy,false,83
84,48,1989,2002,Inverse,false,84
85,54,1995,1995,Right-sized,false,85
86,12,2009,1991,Progressive,true,86
87,9,1995,1992,infrastructure,false,87
88,96,1992,1985,Inverse,false,88
89,44,2010,2007,modular,true,89
90,3,2003,1996,moratorium,false,90
91,59,2004,2009,Vision-oriented,true,91
92,25,1997,1970,Advanced,true,92
93,40,2003,1995,capability,false,93
94,91,2011,1993,Stand-alone,true,94
95,99,2008,1998,adapter,true,95
96,57,1996,1990,fault-tolerant,false,96
97,17,1993,2007,contingency,true,97
98,26,1984,1989,content-based,false,98
99,77,2010,2010,installation,false,99
100,72,1968,2002,asymmetric,true,100
101,89,2004,2012,infrastructure,true,101
102,27,1998,1989,frame,true,102
103,91,2001,1993,standardization,true,103
104,26,1996,2012,Vision-oriented,true,104
105,59,1991,1994,multi-tasking,true,105
106,58,1957,2003,alliance,true,106
107,59,1997,1993,incremental,true,107
108,83,1998,2005,Enterprise-wide,true,108
109,64,1984,1995,monitoring,true,109
110,84,2008,2012,stable,false,110
111,20,2011,2003,Fully-configurable,true,111
112,50,2008,2007,Proactive,true,112
113,47,1987,2011,installation,true,113
114,14,2012,1968,real-time,false,114
115,83,2008,1994,model,false,115
116,77,1983,1988,methodology,true,116
117,5,2007,1992,structure,false,117
118,79,2006,1996,Monitored,true,118
119,67,2008,1985,productivity,true,119
120,6,1948,2009,Organized,true,120
121,81,2003,2006,holistic,true,121
122,90,2002,1998,matrices,true,122
123,77,1993,2007,Proactive,false,123
124,63,2009,2005,holistic,true,124
125,96,1985,1994,encoding,false,125
126,79,1996,2008,upward-trending,false,126
127,28,2011,1997,discrete,false,127
128,35,2004,1997,foreground,true,128
129,93,2009,1997,exuding,true,129
130,8,1993,1990,Seamless,false,130
131,26,2002,2010,bi-directional,false,131
132,1,1997,2004,strategy,true,132
133,83,2007,1991,circuit,false,133
134,91,2011,2002,alliance,true,134
135,63,1993,2005,scalable,false,135
136,26,2011,2008,methodology,false,136
137,45,1992,1981,capacity,true,137
138,63,1991,1993,Reactive,false,138
139,21,1997,2005,Customer-focused,false,139
140,33,2004,1985,array,true,140
141,47,2005,1995,workforce,false,141
142,37,1995,2007,encoding,false,142
143,79,2012,2006,scalable,true,143
144,26,1997,2012,value-added,false,144
145,1,1999,2013,extranet,true,145
146,49,2003,2013,Compatible,true,146
147,63,2003,1991,firmware,false,147
148,99,2006,1965,time-frame,true,148
149,97,1998,2008,demand-driven,false,149
150,57,2001,1995,Mandatory,true,150
151,56,1997,1999,Polarised,false,151
152,30,2003,2004,throughput,true,152
153,100,1998,1993,Secured,false,153
154,98,2010,1982,Enterprise-wide,true,154
155,97,2011,1993,zero tolerance,true,155
156,23,1992,2002,Devolved,false,156
157,97,2003,2006,Down-sized,true,157
158,65,2008,2003,foreground,false,158
159,47,2006,2010,collaboration,true,159
160,9,1986,2011,foreground,false,160
161,10,1999,1994,benchmark,false,161
162,100,2010,1999,intranet,true,162
163,81,2004,1998,real-time,true,163
164,43,2005,1984,matrix,false,164
165,65,2002,2003,neutral,true,165
166,62,2006,1992,Seamless,true,166
167,20,1999,1999,coherent,false,167
168,3,2002,1996,Re-engineered,true,168
169,30,1997,1994,Decentralized,false,169
170,13,2004,1998,Organized,false,170
171,90,2012,1996,non-volatile,false,171
172,7,2013,2008,Graphical User Interface,true,172
173,28,1991,2004,Customer-focused,true,173
174,96,1992,1993,protocol,false,174
175,63,1992,2000,discrete,false,175
176,6,2003,1997,policy,false,176
177,51,2004,1998,Cloned,false,177
178,31,2011,2001,adapter,false,178
179,31,2007,1998,well-modulated,false,179
180,69,2011,1985,challenge,true,180
181,62,2012,1993,foreground,true,181
182,20,2009,2005,Adaptive,false,182
183,40,2003,2010,full-range,false,183
184,60,2001,2008,Streamlined,false,184
185,2,1998,1997,Centralized,true,185
186,18,2001,1991,Up-sized,false,186
187,57,1998,2009,Seamless,true,187
188,4,1986,1984,Future-proofed,false,188
189,16,1988,2011,Multi-layered,false,189
190,6,2004,2012,attitude,false,190
191,92,2005,1996,knowledge base,false,191
192,4,2010,1998,benchmark,false,192
193,6,2009,1992,knowledge base,false,193
194,74,2006,1997,conglomeration,true,194
195,97,2004,2005,core,false,195
196,80,2006,1997,info-mediaries,true,196
